x,y,layer1,layer2,voltage1,voltage2,current
3626.22,4444.64,POWER,BOTTOM_LAYER,0.000623867,0.000623855,9.11081e-05
3627.21,3574.56,TOP_LAYER,GND,0.00125952,0.0012611,-0.0116948
3627.21,3574.56,GND,POWER,0.0012611,0.00126099,6.18919e-05
3627.21,3574.56,POWER,BOTTOM_LAYER,0.00126099,0.00126098,6.18919e-05
3628.19,4168.07,TOP_LAYER,GND,0.000777115,0.000777334,-0.00162429
3628.19,4168.07,GND,POWER,0.000777334,0.000780902,-0.0020337
3628.19,4168.07,POWER,BOTTOM_LAYER,0.000780902,0.000781177,-0.0020337
3629.72,4054.88,TOP_LAYER,GND,0.000810152,0.000811263,-0.0082279
3629.72,4054.88,GND,POWER,0.000811263,0.00080857,0.00153486
3629.72,4054.88,POWER,BOTTOM_LAYER,0.00080857,0.000808363,0.00153486
3652.8,3573.58,TOP_LAYER,GND,0.00126121,0.0012611,0.000789065
3652.8,3573.58,GND,POWER,0.0012611,0.00126708,-0.00340988
3652.8,3573.58,POWER,BOTTOM_LAYER,0.00126708,0.00126754,-0.00340988
3655.75,4053.9,TOP_LAYER,GND,0.000811776,0.000811263,0.0038033
3655.75,4053.9,GND,POWER,0.000811263,0.00081343,-0.00123492
3655.75,4053.9,POWER,BOTTOM_LAYER,0.00081343,0.000813596,-0.00123492
3665.59,3297.99,TOP_LAYER,GND,0.00145943,0.00145949,-0.00043693
3665.59,3297.99,GND,POWER,0.00145949,0.00145992,-0.000247233
3665.59,3297.99,POWER,BOTTOM_LAYER,0.00145992,0.00145996,-0.000247233
3665.59,3337.36,TOP_LAYER,GND,0.00145943,0.00145948,-0.000386689
3665.59,3337.36,GND,POWER,0.00145948,0.00145953,-2.79646e-05
3665.59,3337.36,POWER,BOTTOM_LAYER,0.00145953,0.00145954,-2.79646e-05
3665.59,3376.73,TOP_LAYER,GND,0.00145825,0.00145814,0.000792603
3665.59,3376.73,GND,POWER,0.00145814,0.00145894,-0.000454338
3665.59,3376.73,POWER,BOTTOM_LAYER,0.00145894,0.001459,-0.000454338
3665.59,4365.9,TOP_LAYER,GND,0.000620542,0.000620613,-0.000525861
3665.59,4365.9,GND,POWER,0.000620613,0.000620366,0.000141186
