x;y;layer1;layer2;voltage1;voltage2;current
3704.96;4444.64;TOP_LAYER;GND;5.47677e-06;5.47668e-06;6.52432e-07
3704.96;4444.64;GND;POWER;5.47668e-06;5.47679e-06;-6.23577e-08
3704.96;4444.64;POWER;BOTTOM_LAYER;5.47679e-06;5.4768e-06;-6.23577e-08
3709.34;3527.32;TOP_LAYER;GND;2.87404e-05;2.8816e-05;-0.000560019
3709.34;3527.32;GND;POWER;2.8816e-05;2.87573e-05;3.34342e-05
3709.34;3527.32;POWER;BOTTOM_LAYER;2.87573e-05;2.87528e-05;3.34342e-05
3709.34;3550.94;TOP_LAYER;GND;2.86923e-05;2.8816e-05;-0.000916424
3709.34;3550.94;GND;POWER;2.8816e-05;2.87573e-05;3.34342e-05
3709.34;3550.94;POWER;BOTTOM_LAYER;2.87573e-05;2.87528e-05;3.34342e-05
3711.85;4007.64;TOP_LAYER;GND;1.25347e-05;1.26111e-05;-0.000565631
3711.85;4007.64;GND;POWER;1.26111e-05;1.23335e-05;0.000158197
3711.85;4007.64;POWER;BOTTOM_LAYER;1.23335e-05;1.23122e-05;0.000158197
3711.85;4031.26;TOP_LAYER;GND;1.21852e-05;1.21836e-05;1.14324e-05
3711.85;4031.26;GND;POWER;1.21836e-05;1.20551e-05;7.3265e-05
